Complaint ID,Date received,Product,Sub-product,Issue,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Timely response?,Consumer disputed?,Company response to consumer
3481392,12/31/2019,Mortgage,VA mortgage,Struggling to pay mortgage,No,"PENNYMAC LOAN SERVICES, LLC.",TX,78250,Consent provided,Web,12/31/2019,Yes,Unknown,Closed with non-monetary relief
3479162,12/28/2019,Mortgage,VA mortgage,Trouble during payment process,No,JPMORGAN CHASE & CO.,TX,75023,Consent provided,Web,12/28/2019,Yes,Unknown,Closed with explanation
3478150,12/27/2019,Mortgage,FHA mortgage,Trouble during payment process,No,Mr. Cooper Group Inc.,TX,78754,Consent provided,Web,12/27/2019,Yes,Unknown,Closed with explanation
3478892,12/27/2019,Mortgage,Conventional home mortgage,Trouble during payment process,Yes,Specialized Loan Servicing Holdings LLC,TX,76001,Consent provided,Web,12/27/2019,Yes,Unknown,Closed with explanation
3478257,12/26/2019,Mortgage,FHA mortgage,Trouble during payment process,Yes,"Flagstar Bank, N.A.",TX,75068,Consent provided,Web,12/26/2019,Yes,Unknown,Closed with explanation
3479082,12/26/2019,Mortgage,Other type of mortgage,Closing on a mortgage,Yes,"Flagstar Bank, N.A.",TX,75418,Unknown,Referral,12/27/2019,Yes,Unknown,Closed with explanation
3477136,12/25/2019,Mortgage,VA mortgage,Closing on a mortgage,Yes,Southwest Business Corporation,TX,77095,Consent provided,Web,12/25/2019,No,Unknown,Closed with explanation
3476856,12/24/2019,Mortgage,Conventional home mortgage,Trouble during payment process,Yes,"LoanCare, LLC",TX,77904,Consent provided,Web,12/24/2019,Yes,Unknown,Closed with explanation
3475957,12/23/2019,Mortgage,Conventional home mortgage,Trouble during payment process,No,Selene Finance LP,TX,78229,Unknown,Phone,12/23/2019,Yes,Unknown,Closed with explanation
3476302,12/23/2019,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,Yes,U.S. BANCORP,TX,78109,Consent provided,Web,12/23/2019,Yes,Unknown,Closed with explanation
3476160,12/23/2019,Mortgage,Conventional home mortgage,Trouble during payment process,Yes,WELLS FARGO & COMPANY,TX,76248,Consent provided,Web,12/23/2019,Yes,Unknown,Closed with non-monetary relief
3476500,12/23/2019,Mortgage,Conventional home mortgage,Trouble during payment process,No,Home Point Financial Corporation,TX,75039,Consent provided,Web,1/6/2020,Yes,Unknown,Closed with explanation
3474976,12/21/2019,Mortgage,FHA mortgage,Trouble during payment process,No,WESTSTAR MORTGAGE CORPORATION,TX,77901,Consent provided,Web,12/21/2019,Yes,Unknown,Closed with explanation
3475605,12/20/2019,Mortgage,Conventional home mortgage,Struggling to pay mortgage,No,Mr. Cooper Group Inc.,TX,76054,Unknown,Referral,12/23/2019,Yes,Unknown,Closed with explanation
3474067,12/20/2019,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,Yes,DHI Mortgage Company,TX,75189,Consent provided,Web,12/20/2019,Yes,Unknown,Closed with explanation
3473622,12/20/2019,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,Yes,AMERISAVE MORTGAGE CORPORATION,TX,75001,Consent not provided,Web,12/20/2019,Yes,Unknown,Closed with monetary relief
3477822,12/20/2019,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Yes,WELLS FARGO & COMPANY,TX,76449,Unknown,Referral,12/26/2019,Yes,Unknown,Closed with explanation
3474051,12/20/2019,Mortgage,VA mortgage,Trouble during payment process,No,Ocwen Financial Corporation,TX,75227,Consent provided,Web,12/20/2019,Yes,Unknown,Closed with explanation
3472452,12/19/2019,Mortgage,FHA mortgage,Closing on a mortgage,No,Finance of America Mortgage LLC,TX,75080,Consent provided,Web,12/20/2019,Yes,Unknown,Closed with explanation
